emoji_id,emoji_name,asset_path,animation_path,has_static_asset,has_animation_asset,category
19,吐,assets/qq_emoji/19/png/19.png,assets/qq_emoji/19/apng/19.png,Yes,Yes,qqnt
20,偷笑,assets/qq_emoji/20/png/20.png,assets/qq_emoji/20/apng/20.png,Yes,Yes,qqnt
21,可爱,assets/qq_emoji/21/png/21.png,assets/qq_emoji/21/apng/21.png,Yes,Yes,qqnt
22,白眼,assets/qq_emoji/22/png/22.png,assets/qq_emoji/22/apng/22.png,Yes,Yes,qqnt
23,傲慢,assets/qq_emoji/23/png/23.png,assets/qq_emoji/23/apng/23.png,Yes,Yes,qqnt
24,饥饿,assets/qq_emoji/24/png/24.png,assets/qq_emoji/24/apng/24.png,Yes,Yes,qqnt
25,困,assets/qq_emoji/25/png/25.png,assets/qq_emoji/25/apng/25.png,Yes,Yes,qqnt
26,惊恐,assets/qq_emoji/26/png/26.png,assets/qq_emoji/26/apng/26.png,Yes,Yes,qqnt
27,流汗,assets/qq_emoji/27/png/27.png,assets/qq_emoji/27/apng/27.png,Yes,Yes,qqnt
28,憨笑,assets/qq_emoji/28/png/28.png,assets/qq_emoji/28/apng/28.png,Yes,Yes,qqnt
29,悠闲,assets/qq_emoji/29/png/29.png,assets/qq_emoji/29/apng/29.png,Yes,Yes,qqnt
30,奋斗,assets/qq_emoji/30/png/30.png,assets/qq_emoji/30/apng/30.png,Yes,Yes,qqnt
31,咒骂,assets/qq_emoji/31/png/31.png,assets/qq_emoji/31/apng/31.png,Yes,Yes,qqnt
32,疑问,assets/qq_emoji/32/png/32.png,assets/qq_emoji/32/apng/32.png,Yes,Yes,qqnt
33,嘘,assets/qq_emoji/33/png/33.png,assets/qq_emoji/33/apng/33.png,Yes,Yes,qqnt
34,晕,assets/qq_emoji/34/png/34.png,assets/qq_emoji/34/apng/34.png,Yes,Yes,qqnt
35,折磨,assets/qq_emoji/35/png/35.png,assets/qq_emoji/35/apng/35.png,Yes,Yes,qqnt
36,衰,assets/qq_emoji/36/png/36.png,assets/qq_emoji/36/apng/36.png,Yes,Yes,qqnt
37,骷髅,assets/qq_emoji/37/png/37.png,assets/qq_emoji/37/apng/37.png,Yes,Yes,qqnt
38,敲打,assets/qq_emoji/38/png/38.png,assets/qq_emoji/38/apng/38.png,Yes,Yes,qqnt
39,再见,assets/qq_emoji/39/png/39.png,assets/qq_emoji/39/apng/39.png,Yes,Yes,qqnt
41,发抖,assets/qq_emoji/41/png/41.png,assets/qq_emoji/41/apng/41.png,Yes,Yes,qqnt
42,爱情,assets/qq_emoji/42/png/42.png,assets/qq_emoji/42/apng/42.png,Yes,Yes,qqnt
43,跳跳,assets/qq_emoji/43/png/43.png,assets/qq_emoji/43/apng/43.png,Yes,Yes,qqnt
46,猪头,assets/qq_emoji/46/png/46.png,assets/qq_emoji/46/apng/46.png,Yes,Yes,qqnt
49,拥抱,assets/qq_emoji/49/png/49.png,assets/qq_emoji/49/apng/49.png,Yes,Yes,qqnt
53,蛋糕,assets/qq_emoji/53/png/53.png,assets/qq_emoji/53/apng/53.png,Yes,Yes,qqnt
55,炸弹,,,No,No,qqnt
56,刀,assets/qq_emoji/56/png/56.png,assets/qq_emoji/56/apng/56.png,Yes,Yes,qqnt
59,便便,assets/qq_emoji/59/png/59.png,assets/qq_emoji/59/apng/59.png,Yes,Yes,qqnt
60,咖啡,assets/qq_emoji/60/png/60.png,assets/qq_emoji/60/apng/60.png,Yes,Yes,qqnt
63,玫瑰,assets/qq_emoji/63/png/63.png,assets/qq_emoji/63/apng/63.png,Yes,Yes,qqnt
64,凋谢,assets/qq_emoji/64/png/64.png,assets/qq_emoji/64/apng/64.png,Yes,Yes,qqnt
66,爱心,assets/qq_emoji/66/png/66.png,assets/qq_emoji/66/apng/66.png,Yes,Yes,qqnt
67,心碎,assets/qq_emoji/67/png/67.png,assets/qq_emoji/67/apng/67.png,Yes,Yes,qqnt
74,太阳,assets/qq_emoji/74/png/74.png,assets/qq_emoji/74/apng/74.png,Yes,Yes,qqnt
75,月亮,assets/qq_emoji/75/png/75.png,assets/qq_emoji/75/apng/75.png,Yes,Yes,qqnt
76,赞,assets/qq_emoji/76/png/76.png,assets/qq_emoji/76/apng/76.png,Yes,Yes,qqnt
77,踩,assets/qq_emoji/77/png/77.png,assets/qq_emoji/77/apng/77.png,Yes,Yes,qqnt
78,握手,assets/qq_emoji/78/png/78.png,assets/qq_emoji/78/apng/78.png,Yes,Yes,qqnt
79,胜利,assets/qq_emoji/79/png/79.png,assets/qq_emoji/79/apng/79.png,Yes,Yes,qqnt
85,飞吻,assets/qq_emoji/85/png/85.png,assets/qq_emoji/85/apng/85.png,Yes,Yes,qqnt
86,怄火,assets/qq_emoji/86/png/86.png,assets/qq_emoji/86/apng/86.png,Yes,Yes,qqnt
89,西瓜,assets/qq_emoji/89/png/89.png,assets/qq_emoji/89/apng/89.png,Yes,Yes,qqnt
96,冷汗,assets/qq_emoji/96/png/96.png,assets/qq_emoji/96/apng/96.png,Yes,Yes,qqnt
97,擦汗,assets/qq_emoji/97/png/97.png,assets/qq_emoji/97/apng/97.png,Yes,Yes,qqnt
98,抠鼻,assets/qq_emoji/98/png/98.png,assets/qq_emoji/98/apng/98.png,Yes,Yes,qqnt
99,鼓掌,assets/qq_emoji/99/png/99.png,assets/qq_emoji/99/apng/99.png,Yes,Yes,qqnt
100,糗大了,assets/qq_emoji/100/png/100.png,assets/qq_emoji/100/apng/100.png,Yes,Yes,qqnt
101,坏笑,assets/qq_emoji/101/png/101.png,assets/qq_emoji/101/apng/101.png,Yes,Yes,qqnt
102,左哼哼,assets/qq_emoji/102/png/102.png,assets/qq_emoji/102/apng/102.png,Yes,Yes,qqnt
103,右哼哼,assets/qq_emoji/103/png/103.png,assets/qq_emoji/103/apng/103.png,Yes,Yes,qqnt
104,哈欠,assets/qq_emoji/104/png/104.png,assets/qq_emoji/104/apng/104.png,Yes,Yes,qqnt
105,鄙视,assets/qq_emoji/105/png/105.png,assets/qq_emoji/105/apng/105.png,Yes,Yes,qqnt
106,委屈,assets/qq_emoji/106/png/106.png,assets/qq_emoji/106/apng/106.png,Yes,Yes,qqnt
107,快哭了,assets/qq_emoji/107/png/107.png,assets/qq_emoji/107/apng/107.png,Yes,Yes,qqnt
108,阴险,assets/qq_emoji/108/png/108.png,assets/qq_emoji/108/apng/108.png,Yes,Yes,qqnt
